# r_kpc   Phi_(km/s)^2   g_(km/s)^2/kpc
1.34531036e-02 -2.66369595e+08 9.86733834e+07
1.34884644e-02 -2.66366106e+08 9.86716066e+07
1.35239181e-02 -2.66362607e+08 9.86698252e+07
1.35594649e-02 -2.66359100e+08 9.86680392e+07
1.35951053e-02 -2.66355583e+08 9.86662484e+07
1.36308393e-02 -2.66352058e+08 9.86644531e+07
1.36666672e-02 -2.66348523e+08 9.86626530e+07
1.37025893e-02 -2.66344979e+08 9.86608483e+07
1.37386058e-02 -2.66341425e+08 9.86590388e+07
1.37747170e-02 -2.66337863e+08 9.86572246e+07
1.38109231e-02 -2.66334291e+08 9.86554057e+07
1.38472244e-02 -2.66330709e+08 9.86535821e+07
1.38836210e-02 -2.66327119e+08 9.86517537e+07
1.39201134e-02 -2.66323519e+08 9.86499205e+07
1.39567016e-02 -2.66319909e+08 9.86480826e+07
1.39933861e-02 -2.66316290e+08 9.86462398e+07
1.40301669e-02 -2.66312662e+08 9.86443923e+07
1.40670445e-02 -2.66309024e+08 9.86425399e+07
1.41040189e-02 -2.66305377e+08 9.86406827e+07
1.41410906e-02 -2.66301721e+08 9.86388207e+07
1.41782597e-02 -2.66298054e+08 9.86369538e+07
1.42155265e-02 -2.66294378e+08 9.86350821e+07
1.42528912e-02 -2.66290693e+08 9.86332054e+07
1.42903542e-02 -2.66286998e+08 9.86313239e+07
1.43279156e-02 -2.66283293e+08 9.86294375e+07
1.43655758e-02 -2.66279579e+08 9.86275461e+07
1.44033349e-02 -2.66275855e+08 9.86256498e+07
1.44411933e-02 -2.66272121e+08 9.86237486e+07
1.44791512e-02 -2.66268377e+08 9.86218424e+07
1.45172088e-02 -2.66264624e+08 9.86199313e+07
1.45553665e-02 -2.66260861e+08 9.86180152e+07
1.45936245e-02 -2.66257088e+08 9.86160941e+07
1.46319831e-02 -2.66253306e+08 9.86141679e+07
1.46704425e-02 -2.66249513e+08 9.86122368e+07
1.47090029e-02 -2.66245710e+08 9.86103006e+07
1.47476648e-02 -2.66241898e+08 9.86083594e+07
1.47864282e-02 -2.66238076e+08 9.86064131e+07
1.48252935e-02 -2.66234243e+08 9.86044618e+07
1.48642610e-02 -2.66230401e+08 9.86025053e+07
1.49033309e-02 -2.66226549e+08 9.86005438e+07
1.49425035e-02 -2.66222686e+08 9.85985771e+07
1.49817791e-02 -2.66218814e+08 9.85966054e+07
1.50211579e-02 -2.66214931e+08 9.85946285e+07
1.50606402e-02 -2.66211038e+08 9.85926464e+07
1.51002263e-02 -2.66207136e+08 9.85906592e+07
1.51399164e-02 -2.66203223e+08 9.85886668e+07
1.51797108e-02 -2.66199299e+08 9.85866692e+07
1.52196099e-02 -2.66195366e+08 9.85846664e+07
1.52596138e-02 -2.66191422e+08 9.85826584e+07
1.52997229e-02 -2.66187468e+08 9.85806451e+07
1.53399374e-02 -2.66183504e+08 9.85786266e+07
1.53802576e-02 -2.66179529e+08 9.85766029e+07
1.54206838e-02 -2.66175544e+08 9.85745738e+07
1.54612162e-02 -2.66171549e+08 9.85725395e+07
1.55018552e-02 -2.66167543e+08 9.85704999e+07
1.55426010e-02 -2.66163527e+08 9.85684550e+07
1.55834538e-02 -2.66159500e+08 9.85664048e+07
1.56244141e-02 -2.66155462e+08 9.85643492e+07
1.56654820e-02 -2.66151415e+08 9.85622882e+07
1.57066579e-02 -2.66147356e+08 9.85602219e+07
1.57479420e-02 -2.66143287e+08 9.85581502e+07
1.57893346e-02 -2.66139208e+08 9.85560731e+07
1.58308360e-02 -2.66135118e+08 9.85539906e+07
1.58724465e-02 -2.66131017e+08 9.85519027e+07
1.59141664e-02 -2.66126905e+08 9.85498094e+07
1.59559959e-02 -2.66122783e+08 9.85477106e+07
1.59979354e-02 -2.66118650e+08 9.85456063e+07
1.60399851e-02 -2.66114506e+08 9.85434965e+07
1.60821454e-02 -2.66110352e+08 9.85413813e+07
1.61244164e-02 -2.66106186e+08 9.85392605e+07
1.61667986e-02 -2.66102010e+08 9.85371343e+07
1.62092921e-02 -2.66097823e+08 9.85350024e+07
1.62518974e-02 -2.66093625e+08 9.85328651e+07
1.62946146e-02 -2.66089416e+08 9.85307221e+07
1.63374441e-02 -2.66085196e+08 9.85285736e+07
1.63803862e-02 -2.66080965e+08 9.85264195e+07
1.64234412e-02 -2.66076723e+08 9.85242598e+07
1.64666093e-02 -2.66072470e+08 9.85220945e+07
1.65098909e-02 -2.66068206e+08 9.85199235e+07
1.65532862e-02 -2.66063930e+08 9.85177469e+07
1.65967957e-02 -2.66059644e+08 9.85155646e+07
1.66404194e-02 -2.66055346e+08 9.85133766e+07
1.66841579e-02 -2.66051038e+08 9.85111830e+07
1.67280113e-02 -2.66046718e+08 9.85089836e+07
1.67719800e-02 -2.66042386e+08 9.85067785e+07
1.68160642e-02 -2.66038044e+08 9.85045676e+07
1.68602643e-02 -2.66033690e+08 9.85023510e+07
1.69045806e-02 -2.66029325e+08 9.85001287e+07
1.69490134e-02 -2.66024948e+08 9.84979005e+07
1.69935630e-02 -2.66020560e+08 9.84956666e+07
1.70382296e-02 -2.66016161e+08 9.84934268e+07
1.70830137e-02 -2.66011750e+08 9.84911812e+07
1.71279155e-02 -2.66007328e+08 9.84889298e+07
1.71729353e-02 -2.66002894e+08 9.84866725e+07
1.72180734e-02 -2.65998448e+08 9.84844093e+07
1.72633302e-02 -2.65993991e+08 9.84821403e+07
1.73087059e-02 -2.65989523e+08 9.84798653e+07
1.73542009e-02 -2.65985042e+08 9.84775844e+07
1.73998155e-02 -2.65980550e+08 9.84752976e+07
1.74455500e-02 -2.65976047e+08 9.84730048e+07
1.74914047e-02 -2.65971531e+08 9.84707061e+07
1.75373799e-02 -2.65967004e+08 9.84684014e+07
1.75834759e-02 -2.65962465e+08 9.84660907e+07
1.76296931e-02 -2.65957914e+08 9.84637740e+07
1.76760318e-02 -2.65953352e+08 9.84614512e+07
1.77224923e-02 -2.65948777e+08 9.84591224e+07
1.77690749e-02 -2.65944191e+08 9.84567876e+07
1.78157800e-02 -2.65939592e+08 9.84544467e+07
1.78626078e-02 -2.65934982e+08 9.84520996e+07
1.79095587e-02 -2.65930360e+08 9.84497465e+07
1.79566330e-02 -2.65925725e+08 9.84473873e+07
1.80038311e-02 -2.65921079e+08 9.84450219e+07
1.80511532e-02 -2.65916420e+08 9.84426504e+07
1.80985996e-02 -2.65911750e+08 9.84402727e+07
1.81461708e-02 -2.65907067e+08 9.84378888e+07
1.81938671e-02 -2.65902372e+08 9.84354987e+07
1.82416887e-02 -2.65897664e+08 9.84331024e+07
1.82896360e-02 -2.65892945e+08 9.84306999e+07
1.83377093e-02 -2.65888213e+08 9.84282911e+07
1.83859090e-02 -2.65883469e+08 9.84258761e+07
1.84342353e-02 -2.65878712e+08 9.84234548e+07
1.84826887e-02 -2.65873943e+08 9.84210272e+07
1.85312695e-02 -2.65869162e+08 9.84185932e+07
1.85799779e-02 -2.65864368e+08 9.84161530e+07
1.86288144e-02 -2.65859562e+08 9.84137064e+07
1.86777792e-02 -2.65854743e+08 9.84112534e+07
1.87268727e-02 -2.65849912e+08 9.84087941e+07
1.87760953e-02 -2.65845068e+08 9.84063283e+07
1.88254473e-02 -2.65840212e+08 9.84038562e+07
1.88749289e-02 -2.65835343e+08 9.84013776e+07
1.89245407e-02 -2.65830461e+08 9.83988926e+07
1.89742828e-02 -2.65825566e+08 9.83964011e+07
1.90241557e-02 -2.65820659e+08 9.83939032e+07
1.90741596e-02 -2.65815739e+08 9.83913987e+07
1.91242950e-02 -2.65810806e+08 9.83888877e+07
1.91745622e-02 -2.65805860e+08 9.83863703e+07
1.92249615e-02 -2.65800902e+08 9.83838462e+07
1.92754933e-02 -2.65795930e+08 9.83813156e+07
1.93261579e-02 -2.65790946e+08 9.83787785e+07
1.93769557e-02 -2.65785949e+08 9.83762347e+07
1.94278869e-02 -2.65780938e+08 9.83736843e+07
1.94789521e-02 -2.65775915e+08 9.83711273e+07
1.95301515e-02 -2.65770879e+08 9.83685637e+07
1.95814854e-02 -2.65765829e+08 9.83659934e+07
1.96329543e-02 -2.65760766e+08 9.83634164e+07
1.96845584e-02 -2.65755690e+08 9.83608327e+07
1.97362982e-02 -2.65750601e+08 9.83582423e+07
1.97881740e-02 -2.65745499e+08 9.83556452e+07
1.98401862e-02 -2.65740383e+08 9.83530413e+07
1.98923350e-02 -2.65735254e+08 9.83504307e+07
1.99446210e-02 -2.65730112e+08 9.83478133e+07
1.99970443e-02 -2.65724956e+08 9.83451890e+07
2.00496055e-02 -2.65719787e+08 9.83425580e+07
2.01023048e-02 -2.65714605e+08 9.83399201e+07
2.01551426e-02 -2.65709409e+08 9.83372754e+07
2.02081193e-02 -2.65704199e+08 9.83346238e+07
2.02612353e-02 -2.65698976e+08 9.83319653e+07
2.03144908e-02 -2.65693740e+08 9.83292999e+07
2.03678864e-02 -2.65688489e+08 9.83266276e+07
2.04214223e-02 -2.65683225e+08 9.83239483e+07
2.04750989e-02 -2.65677948e+08 9.83212621e+07
2.05289166e-02 -2.65672656e+08 9.83185689e+07
2.05828757e-02 -2.65667351e+08 9.83158687e+07
2.06369767e-02 -2.65662032e+08 9.83131615e+07
2.06912199e-02 -2.65656700e+08 9.83104473e+07
2.07456056e-02 -2.65651353e+08 9.83077260e+07
2.08001343e-02 -2.65645992e+08 9.83049977e+07
2.08548063e-02 -2.65640618e+08 9.83022622e+07
2.09096221e-02 -2.65635230e+08 9.82995197e+07
2.09645819e-02 -2.65629827e+08 9.82967701e+07
2.10196862e-02 -2.65624411e+08 9.82940133e+07
2.10749353e-02 -2.65618980e+08 9.82912493e+07
2.11303296e-02 -2.65613535e+08 9.82884782e+07
2.11858695e-02 -2.65608077e+08 9.82856998e+07
2.12415554e-02 -2.65602603e+08 9.82829143e+07
2.12973877e-02 -2.65597116e+08 9.82801215e+07
2.13533668e-02 -2.65591615e+08 9.82773215e+07
2.14094929e-02 -2.65586099e+08 9.82745142e+07
2.14657666e-02 -2.65580569e+08 9.82716997e+07
2.15221882e-02 -2.65575024e+08 9.82688778e+07
2.15787581e-02 -2.65569465e+08 9.82660486e+07
2.16354767e-02 -2.65563892e+08 9.82632120e+07
2.16923444e-02 -2.65558304e+08 9.82603681e+07
2.17493616e-02 -2.65552701e+08 9.82575168e+07
2.18065286e-02 -2.65547084e+08 9.82546581e+07
2.18638459e-02 -2.65541453e+08 9.82517920e+07
