# r_kpc   Phi_(km/s)^2   g_(km/s)^2/kpc
3.01820381e-01 -2.39893405e+08 8.53237558e+07
3.02613699e-01 -2.39825730e+08 8.52899936e+07
3.03409103e-01 -2.39757903e+08 8.52561581e+07
3.04206598e-01 -2.39689925e+08 8.52222490e+07
3.05006188e-01 -2.39621796e+08 8.51882664e+07
3.05807881e-01 -2.39553515e+08 8.51542100e+07
3.06611680e-01 -2.39485082e+08 8.51200798e+07
3.07417592e-01 -2.39416496e+08 8.50858756e+07
3.08225623e-01 -2.39347758e+08 8.50515973e+07
3.09035777e-01 -2.39278867e+08 8.50172448e+07
3.09848061e-01 -2.39209823e+08 8.49828180e+07
3.10662480e-01 -2.39140625e+08 8.49483167e+07
3.11479040e-01 -2.39071274e+08 8.49137409e+07
3.12297745e-01 -2.39001769e+08 8.48790904e+07
3.13118603e-01 -2.38932109e+08 8.48443650e+07
3.13941619e-01 -2.38862295e+08 8.48095648e+07
3.14766797e-01 -2.38792327e+08 8.47746895e+07
3.15594145e-01 -2.38722203e+08 8.47397390e+07
3.16423667e-01 -2.38651924e+08 8.47047133e+07
3.17255369e-01 -2.38581490e+08 8.46696121e+07
3.18089258e-01 -2.38510899e+08 8.46344354e+07
3.18925338e-01 -2.38440153e+08 8.45991831e+07
3.19763616e-01 -2.38369250e+08 8.45638551e+07
3.20604098e-01 -2.38298191e+08 8.45284511e+07
3.21446788e-01 -2.38226974e+08 8.44929712e+07
3.22291694e-01 -2.38155601e+08 8.44574151e+07
3.23138820e-01 -2.38084070e+08 8.44217828e+07
3.23988173e-01 -2.38012381e+08 8.43860742e+07
3.24839759e-01 -2.37940534e+08 8.43502891e+07
3.25693582e-01 -2.37868529e+08 8.43144274e+07
3.26549650e-01 -2.37796366e+08 8.42784890e+07
3.27407968e-01 -2.37724043e+08 8.42424737e+07
3.28268543e-01 -2.37651562e+08 8.42063816e+07
3.29131379e-01 -2.37578921e+08 8.41702123e+07
3.29996483e-01 -2.37506121e+08 8.41339659e+07
3.30863861e-01 -2.37433161e+08 8.40976422e+07
3.31733518e-01 -2.37360040e+08 8.40612410e+07
3.32605462e-01 -2.37286760e+08 8.40247623e+07
3.33479698e-01 -2.37213318e+08 8.39882060e+07
3.34356231e-01 -2.37139716e+08 8.39515719e+07
3.35235068e-01 -2.37065952e+08 8.39148599e+07
3.36116216e-01 -2.36992027e+08 8.38780699e+07
3.36999679e-01 -2.36917940e+08 8.38412017e+07
3.37885464e-01 -2.36843691e+08 8.38042554e+07
3.38773578e-01 -2.36769280e+08 8.37672306e+07
3.39664026e-01 -2.36694706e+08 8.37301274e+07
3.40556815e-01 -2.36619969e+08 8.36929456e+07
3.41451950e-01 -2.36545070e+08 8.36556851e+07
3.42349438e-01 -2.36470006e+08 8.36183457e+07
3.43249285e-01 -2.36394779e+08 8.35809274e+07
3.44151497e-01 -2.36319389e+08 8.35434300e+07
3.45056081e-01 -2.36243834e+08 8.35058534e+07
3.45963042e-01 -2.36168114e+08 8.34681976e+07
3.46872387e-01 -2.36092230e+08 8.34304623e+07
3.47784122e-01 -2.36016181e+08 8.33926475e+07
3.48698254e-01 -2.35939966e+08 8.33547531e+07
3.49614789e-01 -2.35863586e+08 8.33167788e+07
3.50533732e-01 -2.35787040e+08 8.32787247e+07
3.51455091e-01 -2.35710328e+08 8.32405906e+07
3.52378872e-01 -2.35633450e+08 8.32023764e+07
3.53305081e-01 -2.35556405e+08 8.31640820e+07
3.54233724e-01 -2.35479193e+08 8.31257072e+07
3.55164808e-01 -2.35401813e+08 8.30872519e+07
3.56098340e-01 -2.35324267e+08 8.30487161e+07
3.57034325e-01 -2.35246553e+08 8.30100995e+07
3.57972771e-01 -2.35168670e+08 8.29714022e+07
3.58913683e-01 -2.35090620e+08 8.29326239e+07
3.59857068e-01 -2.35012401e+08 8.28937646e+07
3.60802933e-01 -2.34934013e+08 8.28548241e+07
3.61751284e-01 -2.34855456e+08 8.28158024e+07
3.62702128e-01 -2.34776730e+08 8.27766992e+07
3.63655471e-01 -2.34697834e+08 8.27375146e+07
3.64611319e-01 -2.34618768e+08 8.26982484e+07
3.65569681e-01 -2.34539532e+08 8.26589004e+07
3.66530561e-01 -2.34460126e+08 8.26194706e+07
3.67493966e-01 -2.34380548e+08 8.25799588e+07
3.68459905e-01 -2.34300800e+08 8.25403649e+07
3.69428381e-01 -2.34220881e+08 8.25006889e+07
3.70399404e-01 -2.34140791e+08 8.24609306e+07
3.71372979e-01 -2.34060528e+08 8.24210898e+07
3.72349113e-01 -2.33980094e+08 8.23811665e+07
3.73327812e-01 -2.33899487e+08 8.23411606e+07
3.74309084e-01 -2.33818707e+08 8.23010719e+07
3.75292935e-01 -2.33737755e+08 8.22609003e+07
3.76279373e-01 -2.33656630e+08 8.22206458e+07
3.77268403e-01 -2.33575331e+08 8.21803082e+07
3.78260032e-01 -2.33493859e+08 8.21398873e+07
3.79254268e-01 -2.33412212e+08 8.20993832e+07
3.80251118e-01 -2.33330392e+08 8.20587956e+07
3.81250587e-01 -2.33248397e+08 8.20181244e+07
3.82252684e-01 -2.33166227e+08 8.19773696e+07
3.83257414e-01 -2.33083882e+08 8.19365311e+07
3.84264786e-01 -2.33001363e+08 8.18956086e+07
3.85274805e-01 -2.32918667e+08 8.18546022e+07
3.86287479e-01 -2.32835796e+08 8.18135117e+07
3.87302815e-01 -2.32752749e+08 8.17723369e+07
3.88320819e-01 -2.32669525e+08 8.17310778e+07
3.89341500e-01 -2.32586125e+08 8.16897343e+07
3.90364863e-01 -2.32502548e+08 8.16483063e+07
3.91390916e-01 -2.32418794e+08 8.16067936e+07
3.92419666e-01 -2.32334862e+08 8.15651961e+07
3.93451120e-01 -2.32250753e+08 8.15235137e+07
3.94485285e-01 -2.32166466e+08 8.14817464e+07
3.95522168e-01 -2.32082000e+08 8.14398939e+07
3.96561776e-01 -2.31997356e+08 8.13979563e+07
3.97604118e-01 -2.31912534e+08 8.13559333e+07
3.98649199e-01 -2.31827532e+08 8.13138249e+07
3.99697027e-01 -2.31742352e+08 8.12716310e+07
4.00747609e-01 -2.31656991e+08 8.12293514e+07
4.01800952e-01 -2.31571451e+08 8.11869861e+07
4.02857064e-01 -2.31485731e+08 8.11445349e+07
4.03915952e-01 -2.31399831e+08 8.11019978e+07
4.04977623e-01 -2.31313750e+08 8.10593745e+07
4.06042085e-01 -2.31227488e+08 8.10166651e+07
4.07109345e-01 -2.31141045e+08 8.09738694e+07
4.08179410e-01 -2.31054420e+08 8.09309873e+07
4.09252287e-01 -2.30967614e+08 8.08880187e+07
4.10327985e-01 -2.30880626e+08 8.08449635e+07
4.11406510e-01 -2.30793456e+08 8.08018216e+07
4.12487870e-01 -2.30706104e+08 8.07585929e+07
4.13572072e-01 -2.30618569e+08 8.07152772e+07
4.14659124e-01 -2.30530851e+08 8.06718745e+07
4.15749033e-01 -2.30442949e+08 8.06283846e+07
4.16841807e-01 -2.30354865e+08 8.05848075e+07
4.17937453e-01 -2.30266596e+08 8.05411430e+07
4.19035979e-01 -2.30178144e+08 8.04973911e+07
4.20137392e-01 -2.30089507e+08 8.04535517e+07
4.21241701e-01 -2.30000685e+08 8.04096245e+07
4.22348912e-01 -2.29911679e+08 8.03656096e+07
4.23459033e-01 -2.29822488e+08 8.03215068e+07
4.24572072e-01 -2.29733112e+08 8.02773161e+07
4.25688037e-01 -2.29643550e+08 8.02330372e+07
4.26806935e-01 -2.29553802e+08 8.01886702e+07
4.27928774e-01 -2.29463868e+08 8.01442149e+07
4.29053562e-01 -2.29373748e+08 8.00996712e+07
4.30181306e-01 -2.29283441e+08 8.00550391e+07
4.31312014e-01 -2.29192948e+08 8.00103183e+07
4.32445695e-01 -2.29102267e+08 7.99655088e+07
4.33582355e-01 -2.29011399e+08 7.99206105e+07
4.34722002e-01 -2.28920343e+08 7.98756234e+07
4.35864646e-01 -2.28829100e+08 7.98305472e+07
4.37010292e-01 -2.28737668e+08 7.97853820e+07
4.38158950e-01 -2.28646048e+08 7.97401275e+07
4.39310628e-01 -2.28554239e+08 7.96947838e+07
4.40465332e-01 -2.28462241e+08 7.96493506e+07
4.41623071e-01 -2.28370055e+08 7.96038280e+07
4.42783854e-01 -2.28277678e+08 7.95582157e+07
4.43947687e-01 -2.28185112e+08 7.95125138e+07
4.45114580e-01 -2.28092357e+08 7.94667221e+07
4.46284539e-01 -2.27999411e+08 7.94208404e+07
4.47457574e-01 -2.27906274e+08 7.93748688e+07
4.48633692e-01 -2.27812947e+08 7.93288071e+07
4.49812901e-01 -2.27719429e+08 7.92826553e+07
4.50995210e-01 -2.27625720e+08 7.92364131e+07
4.52180627e-01 -2.27531819e+08 7.91900806e+07
4.53369159e-01 -2.27437727e+08 7.91436576e+07
4.54560816e-01 -2.27343442e+08 7.90971440e+07
4.55755604e-01 -2.27248966e+08 7.90505397e+07
4.56953533e-01 -2.27154297e+08 7.90038447e+07
4.58154611e-01 -2.27059435e+08 7.89570589e+07
4.59358846e-01 -2.26964380e+08 7.89101821e+07
4.60566245e-01 -2.26869133e+08 7.88632142e+07
4.61776819e-01 -2.26773691e+08 7.88161552e+07
4.62990574e-01 -2.26678057e+08 7.87690050e+07
4.64207520e-01 -2.26582228e+08 7.87217635e+07
4.65427665e-01 -2.26486205e+08 7.86744305e+07
4.66651016e-01 -2.26389987e+08 7.86270060e+07
4.67877583e-01 -2.26293575e+08 7.85794900e+07
4.69107374e-01 -2.26196968e+08 7.85318822e+07
4.70340397e-01 -2.26100166e+08 7.84841827e+07
4.71576662e-01 -2.26003168e+08 7.84363913e+07
4.72816175e-01 -2.25905975e+08 7.83885079e+07
4.74058947e-01 -2.25808586e+08 7.83405324e+07
4.75304986e-01 -2.25711000e+08 7.82924648e+07
4.76554299e-01 -2.25613218e+08 7.82443050e+07
4.77806896e-01 -2.25515240e+08 7.81960529e+07
4.79062786e-01 -2.25417065e+08 7.81477083e+07
4.80321977e-01 -2.25318692e+08 7.80992712e+07
4.81584477e-01 -2.25220123e+08 7.80507416e+07
4.82850296e-01 -2.25121355e+08 7.80021193e+07
4.84119442e-01 -2.25022390e+08 7.79534042e+07
4.85391924e-01 -2.24923227e+08 7.79045962e+07
4.86667750e-01 -2.24823865e+08 7.78556953e+07
4.87946930e-01 -2.24724305e+08 7.78067014e+07
4.89229472e-01 -2.24624546e+08 7.77576144e+07
4.90515385e-01 -2.24524588e+08 7.77084342e+07
4.91804678e-01 -2.24424431e+08 7.76591608e+07
4.93097361e-01 -2.24324075e+08 7.76097939e+07
4.94393440e-01 -2.24223518e+08 7.75603336e+07
4.95692927e-01 -2.24122762e+08 7.75107798e+07
4.96995829e-01 -2.24021805e+08 7.74611324e+07
4.98302156e-01 -2.23920648e+08 7.74113912e+07
4.99611916e-01 -2.23819290e+08 7.73615563e+07
5.00925119e-01 -2.23717732e+08 7.73116276e+07
5.02241773e-01 -2.23615972e+08 7.72616049e+07
5.03561889e-01 -2.23514011e+08 7.72114882e+07
5.04885474e-01 -2.23411848e+08 7.71612773e+07
5.06212538e-01 -2.23309483e+08 7.71109723e+07
5.07543091e-01 -2.23206917e+08 7.70605731e+07
5.08877140e-01 -2.23104148e+08 7.70100795e+07
5.10214696e-01 -2.23001176e+08 7.69594915e+07
5.11555768e-01 -2.22898002e+08 7.69088089e+07
5.12900365e-01 -2.22794625e+08 7.68580319e+07
5.14248496e-01 -2.22691045e+08 7.68071601e+07
5.15600170e-01 -2.22587261e+08 7.67561937e+07
5.16955397e-01 -2.22483273e+08 7.67051324e+07
5.18314187e-01 -2.22379082e+08 7.66539763e+07
5.19676547e-01 -2.22274686e+08 7.66027252e+07
5.21042489e-01 -2.22170087e+08 7.65513790e+07
5.22412021e-01 -2.22065282e+08 7.64999378e+07
5.23785153e-01 -2.21960273e+08 7.64484014e+07
5.25161894e-01 -2.21855059e+08 7.63967698e+07
5.26542254e-01 -2.21749640e+08 7.63450428e+07
5.27926242e-01 -2.21644015e+08 7.62932204e+07
5.29313867e-01 -2.21538185e+08 7.62413026e+07
5.30705140e-01 -2.21432148e+08 7.61892892e+07
5.32100070e-01 -2.21325906e+08 7.61371803e+07
5.33498666e-01 -2.21219457e+08 7.60849756e+07
5.34900939e-01 -2.21112802e+08 7.60326752e+07
5.36306897e-01 -2.21005940e+08 7.59802790e+07
5.37716551e-01 -2.20898871e+08 7.59277869e+07
5.39129909e-01 -2.20791595e+08 7.58751988e+07
5.40546983e-01 -2.20684112e+08 7.58225148e+07
5.41967782e-01 -2.20576421e+08 7.57697346e+07
5.43392315e-01 -2.20468522e+08 7.57168583e+07
5.44820592e-01 -2.20360415e+08 7.56638858e+07
5.46252624e-01 -2.20252100e+08 7.56108170e+07
5.47688419e-01 -2.20143577e+08 7.55576518e+07
5.49127989e-01 -2.20034844e+08 7.55043902e+07
5.50571342e-01 -2.19925903e+08 7.54510322e+07
5.52018489e-01 -2.19816753e+08 7.53975776e+07
5.53469440e-01 -2.19707394e+08 7.53440264e+07
5.54924204e-01 -2.19597825e+08 7.52903786e+07
5.56382793e-01 -2.19488047e+08 7.52366340e+07
5.57845215e-01 -2.19378058e+08 7.51827926e+07
5.59311481e-01 -2.19267860e+08 7.51288544e+07
5.60781601e-01 -2.19157451e+08 7.50748193e+07
5.62255585e-01 -2.19046832e+08 7.50206872e+07
5.63733443e-01 -2.18936002e+08 7.49664581e+07
5.65215186e-01 -2.18824961e+08 7.49121319e+07
5.66700824e-01 -2.18713710e+08 7.48577086e+07
5.68190366e-01 -2.18602246e+08 7.48031881e+07
5.69683824e-01 -2.18490572e+08 7.47485703e+07
5.71181207e-01 -2.18378685e+08 7.46938553e+07
5.72682526e-01 -2.18266587e+08 7.46390428e+07
5.74187791e-01 -2.18154277e+08 7.45841330e+07
5.75697013e-01 -2.18041755e+08 7.45291257e+07
5.77210202e-01 -2.17929020e+08 7.44740209e+07
5.78727367e-01 -2.17816072e+08 7.44188185e+07
5.80248521e-01 -2.17702912e+08 7.43635184e+07
5.81773673e-01 -2.17589538e+08 7.43081207e+07
5.83302834e-01 -2.17475952e+08 7.42526253e+07
5.84836014e-01 -2.17362152e+08 7.41970321e+07
5.86373223e-01 -2.17248138e+08 7.41413411e+07
5.87914474e-01 -2.17133911e+08 7.40855522e+07
5.89459775e-01 -2.17019469e+08 7.40296654e+07
5.91009138e-01 -2.16904814e+08 7.39736806e+07
5.92562574e-01 -2.16789944e+08 7.39175978e+07
5.94120093e-01 -2.16674860e+08 7.38614169e+07
5.95681705e-01 -2.16559561e+08 7.38051380e+07
5.97247423e-01 -2.16444047e+08 7.37487608e+07
5.98817255e-01 -2.16328318e+08 7.36922855e+07
6.00391214e-01 -2.16212374e+08 7.36357120e+07
6.01969310e-01 -2.16096215e+08 7.35790402e+07
6.03551554e-01 -2.15979839e+08 7.35222700e+07
6.05137956e-01 -2.15863249e+08 7.34654015e+07
6.06728529e-01 -2.15746442e+08 7.34084347e+07
6.08323282e-01 -2.15629419e+08 7.33513693e+07
6.09922227e-01 -2.15512180e+08 7.32942055e+07
6.11525374e-01 -2.15394724e+08 7.32369432e+07
6.13132736e-01 -2.15277052e+08 7.31795823e+07
6.14744322e-01 -2.15159163e+08 7.31221228e+07
6.16360144e-01 -2.15041058e+08 7.30645647e+07
6.17980214e-01 -2.14922735e+08 7.30069079e+07
6.19604541e-01 -2.14804194e+08 7.29491525e+07
6.21233138e-01 -2.14685437e+08 7.28912983e+07
6.22866016e-01 -2.14566461e+08 7.28333453e+07
6.24503186e-01 -2.14447268e+08 7.27752936e+07
6.26144659e-01 -2.14327857e+08 7.27171430e+07
6.27790446e-01 -2.14208228e+08 7.26588936e+07
6.29440560e-01 -2.14088381e+08 7.26005453e+07
6.31095010e-01 -2.13968316e+08 7.25420980e+07
6.32753809e-01 -2.13848031e+08 7.24835518e+07
6.34416968e-01 -2.13727528e+08 7.24249067e+07
6.36084499e-01 -2.13606807e+08 7.23661625e+07
6.37756413e-01 -2.13485866e+08 7.23073194e+07
6.39432721e-01 -2.13364706e+08 7.22483771e+07
6.41113436e-01 -2.13243327e+08 7.21893358e+07
6.42798568e-01 -2.13121728e+08 7.21301954e+07
6.44488129e-01 -2.12999910e+08 7.20709559e+07
6.46182131e-01 -2.12877871e+08 7.20116172e+07
6.47880586e-01 -2.12755613e+08 7.19521794e+07
6.49583505e-01 -2.12633135e+08 7.18926423e+07
6.51290900e-01 -2.12510437e+08 7.18330061e+07
6.53002783e-01 -2.12387519e+08 7.17732706e+07
6.54719166e-01 -2.12264380e+08 7.17134359e+07
6.56440060e-01 -2.12141020e+08 7.16535020e+07
6.58165477e-01 -2.12017439e+08 7.15934687e+07
6.59895430e-01 -2.11893638e+08 7.15333362e+07
6.61629929e-01 -2.11769616e+08 7.14731043e+07
6.63368988e-01 -2.11645372e+08 7.14127732e+07
6.65112617e-01 -2.11520908e+08 7.13523427e+07
6.66860830e-01 -2.11396222e+08 7.12918128e+07
6.68613637e-01 -2.11271314e+08 7.12311836e+07
6.70371052e-01 -2.11146184e+08 7.11704550e+07
6.72133086e-01 -2.11020833e+08 7.11096271e+07
6.73899752e-01 -2.10895260e+08 7.10486997e+07
6.75671061e-01 -2.10769465e+08 7.09876730e+07
6.77447026e-01 -2.10643448e+08 7.09265468e+07
6.79227659e-01 -2.10517208e+08 7.08653213e+07
6.81012972e-01 -2.10390746e+08 7.08039963e+07
6.82802978e-01 -2.10264061e+08 7.07425719e+07
6.84597689e-01 -2.10137154e+08 7.06810480e+07
6.86397117e-01 -2.10010024e+08 7.06194248e+07
6.88201274e-01 -2.09882671e+08 7.05577021e+07
6.90010174e-01 -2.09755095e+08 7.04958800e+07
6.91823829e-01 -2.09627296e+08 7.04339585e+07
6.93642250e-01 -2.09499274e+08 7.03719375e+07
6.95465452e-01 -2.09371028e+08 7.03098171e+07
6.97293445e-01 -2.09242559e+08 7.02475973e+07
6.99126243e-01 -2.09113867e+08 7.01852780e+07
7.00963859e-01 -2.08984951e+08 7.01228594e+07
7.02806304e-01 -2.08855811e+08 7.00603413e+07
7.04653593e-01 -2.08726447e+08 6.99977238e+07
7.06505737e-01 -2.08596859e+08 6.99350069e+07
7.08362749e-01 -2.08467047e+08 6.98721907e+07
7.10224642e-01 -2.08337011e+08 6.98092750e+07
7.12091429e-01 -2.08206751e+08 6.97462600e+07
7.13963123e-01 -2.08076267e+08 6.96831456e+07
7.15839737e-01 -2.07945557e+08 6.96199319e+07
7.17721283e-01 -2.07814624e+08 6.95566188e+07
7.19607774e-01 -2.07683466e+08 6.94932065e+07
7.21499224e-01 -2.07552083e+08 6.94296948e+07
7.23395646e-01 -2.07420475e+08 6.93660838e+07
7.25297053e-01 -2.07288643e+08 6.93023736e+07
7.27203457e-01 -2.07156585e+08 6.92385641e+07
7.29114872e-01 -2.07024303e+08 6.91746553e+07
7.31031311e-01 -2.06891795e+08 6.91106474e+07
7.32952787e-01 -2.06759062e+08 6.90465402e+07
7.34879314e-01 -2.06626104e+08 6.89823339e+07
7.36810905e-01 -2.06492920e+08 6.89180284e+07
7.38747572e-01 -2.06359511e+08 6.88536238e+07
7.40689330e-01 -2.06225877e+08 6.87891201e+07
7.42636192e-01 -2.06092017e+08 6.87245173e+07
7.44588171e-01 -2.05957931e+08 6.86598155e+07
7.46545281e-01 -2.05823620e+08 6.85950147e+07
7.48507535e-01 -2.05689083e+08 6.85301148e+07
7.50474947e-01 -2.05554320e+08 6.84651160e+07
7.52447530e-01 -2.05419331e+08 6.84000183e+07
7.54425297e-01 -2.05284116e+08 6.83348217e+07
7.56408263e-01 -2.05148675e+08 6.82695262e+07
7.58396442e-01 -2.05013008e+08 6.82041318e+07
7.60389846e-01 -2.04877115e+08 6.81386387e+07
7.62388489e-01 -2.04740996e+08 6.80730468e+07
7.64392386e-01 -2.04604650e+08 6.80073562e+07
7.66401551e-01 -2.04468078e+08 6.79415669e+07
7.68415996e-01 -2.04331280e+08 6.78756790e+07
7.70435736e-01 -2.04194255e+08 6.78096924e+07
7.72460784e-01 -2.04057004e+08 6.77436073e+07
7.74491156e-01 -2.03919527e+08 6.76774237e+07
7.76526864e-01 -2.03781823e+08 6.76111416e+07
7.78567923e-01 -2.03643892e+08 6.75447610e+07
7.80614347e-01 -2.03505735e+08 6.74782821e+07
7.82666149e-01 -2.03367351e+08 6.74117049e+07
7.84723345e-01 -2.03228741e+08 6.73450293e+07
7.86785948e-01 -2.03089904e+08 6.72782555e+07
7.88853972e-01 -2.02950840e+08 6.72113835e+07
7.90927432e-01 -2.02811549e+08 6.71444134e+07
7.93006342e-01 -2.02672032e+08 6.70773452e+07
7.95090717e-01 -2.02532287e+08 6.70101790e+07
7.97180570e-01 -2.02392316e+08 6.69429148e+07
7.99275916e-01 -2.02252118e+08 6.68755527e+07
8.01376769e-01 -2.02111693e+08 6.68080927e+07
8.03483145e-01 -2.01971041e+08 6.67405349e+07
8.05595057e-01 -2.01830163e+08 6.66728793e+07
8.07712520e-01 -2.01689057e+08 6.66051261e+07
8.09835549e-01 -2.01547725e+08 6.65372752e+07
8.11964158e-01 -2.01406165e+08 6.64693268e+07
8.14098362e-01 -2.01264379e+08 6.64012809e+07
8.16238175e-01 -2.01122365e+08 6.63331376e+07
8.18383613e-01 -2.00980125e+08 6.62648969e+07
8.20534691e-01 -2.00837657e+08 6.61965589e+07
8.22691422e-01 -2.00694963e+08 6.61281237e+07
8.24853822e-01 -2.00552042e+08 6.60595913e+07
8.27021905e-01 -2.00408893e+08 6.59909618e+07
8.29195688e-01 -2.00265518e+08 6.59222354e+07
8.31375184e-01 -2.00121916e+08 6.58534120e+07
8.33560409e-01 -1.99978086e+08 6.57844917e+07
8.35751377e-01 -1.99834030e+08 6.57154746e+07
8.37948104e-01 -1.99689747e+08 6.56463608e+07
8.40150606e-01 -1.99545237e+08 6.55771504e+07
8.42358896e-01 -1.99400500e+08 6.55078435e+07
8.44572991e-01 -1.99255537e+08 6.54384400e+07
8.46792906e-01 -1.99110346e+08 6.53689402e+07
8.49018655e-01 -1.98964929e+08 6.52993441e+07
8.51250255e-01 -1.98819284e+08 6.52296517e+07
8.53487720e-01 -1.98673413e+08 6.51598633e+07
8.55731067e-01 -1.98527316e+08 6.50899787e+07
8.57980309e-01 -1.98380991e+08 6.50199982e+07
8.60235464e-01 -1.98234440e+08 6.49499219e+07
8.62496547e-01 -1.98087662e+08 6.48797498e+07
8.64763572e-01 -1.97940658e+08 6.48094819e+07
8.67036557e-01 -1.97793427e+08 6.47391185e+07
8.69315516e-01 -1.97645969e+08 6.46686596e+07
8.71600464e-01 -1.97498285e+08 6.45981053e+07
8.73891419e-01 -1.97350375e+08 6.45274557e+07
8.76188396e-01 -1.97202238e+08 6.44567109e+07
8.78491409e-01 -1.97053875e+08 6.43858709e+07
8.80800477e-01 -1.96905286e+08 6.43149360e+07
8.83115613e-01 -1.96756470e+08 6.42439062e+07
8.85436835e-01 -1.96607428e+08 6.41727815e+07
8.87764158e-01 -1.96458160e+08 6.41015622e+07
8.90097598e-01 -1.96308666e+08 6.40302483e+07
8.92437171e-01 -1.96158946e+08 6.39588399e+07
8.94782894e-01 -1.96009001e+08 6.38873372e+07
8.97134783e-01 -1.95858829e+08 6.38157401e+07
8.99492853e-01 -1.95708431e+08 6.37440490e+07
9.01857122e-01 -1.95557808e+08 6.36722638e+07
9.04227604e-01 -1.95406959e+08 6.36003847e+07
9.06604318e-01 -1.95255885e+08 6.35284117e+07
9.08987278e-01 -1.95104585e+08 6.34563451e+07
9.11376502e-01 -1.94953060e+08 6.33841850e+07
9.13772006e-01 -1.94801309e+08 6.33119313e+07
9.16173806e-01 -1.94649334e+08 6.32395844e+07
9.18581920e-01 -1.94497133e+08 6.31671442e+07
9.20996363e-01 -1.94344707e+08 6.30946110e+07
9.23417152e-01 -1.94192056e+08 6.30219848e+07
9.25844304e-01 -1.94039180e+08 6.29492657e+07
9.28277836e-01 -1.93886080e+08 6.28764540e+07
9.30717764e-01 -1.93732755e+08 6.28035497e+07
9.33164105e-01 -1.93579205e+08 6.27305530e+07
9.35616877e-01 -1.93425431e+08 6.26574639e+07
9.38076095e-01 -1.93271433e+08 6.25842827e+07
9.40541778e-01 -1.93117210e+08 6.25110094e+07
9.43013941e-01 -1.92962763e+08 6.24376443e+07
9.45492602e-01 -1.92808093e+08 6.23641873e+07
9.47977778e-01 -1.92653198e+08 6.22906387e+07
9.50469487e-01 -1.92498080e+08 6.22169987e+07
9.52967745e-01 -1.92342738e+08 6.21432673e+07
9.55472569e-01 -1.92187172e+08 6.20694447e+07
9.57983977e-01 -1.92031383e+08 6.19955310e+07
9.60501986e-01 -1.91875371e+08 6.19215264e+07
9.63026614e-01 -1.91719136e+08 6.18474311e+07
9.65557877e-01 -1.91562678e+08 6.17732452e+07
9.68095794e-01 -1.91405996e+08 6.16989687e+07
9.70640381e-01 -1.91249093e+08 6.16246020e+07
9.73191657e-01 -1.91091966e+08 6.15501451e+07
9.75749639e-01 -1.90934618e+08 6.14755982e+07
9.78314344e-01 -1.90777046e+08 6.14009615e+07
9.80885790e-01 -1.90619253e+08 6.13262351e+07
9.83463996e-01 -1.90461238e+08 6.12514191e+07
9.86048978e-01 -1.90303001e+08 6.11765138e+07
9.88640754e-01 -1.90144542e+08 6.11015192e+07
9.91239343e-01 -1.89985862e+08 6.10264357e+07
9.93844762e-01 -1.89826961e+08 6.09512632e+07
9.96457029e-01 -1.89667838e+08 6.08760020e+07
9.99076163e-01 -1.89508494e+08 6.08006523e+07
1.00170218e+00 -1.89348930e+08 6.07252142e+07
1.00433510e+00 -1.89189145e+08 6.06496879e+07
1.00697494e+00 -1.89029139e+08 6.05740735e+07
1.00962172e+00 -1.88868913e+08 6.04983714e+07
1.01227546e+00 -1.88708467e+08 6.04225815e+07
1.01493617e+00 -1.88547801e+08 6.03467041e+07
1.01760387e+00 -1.88386915e+08 6.02707394e+07
1.02027859e+00 -1.88225809e+08 6.01946875e+07
1.02296034e+00 -1.88064484e+08 6.01185487e+07
1.02564913e+00 -1.87902940e+08 6.00423231e+07
1.02834500e+00 -1.87741177e+08 5.99660109e+07
1.03104795e+00 -1.87579196e+08 5.98896122e+07
1.03375800e+00 -1.87416995e+08 5.98131274e+07
1.03647518e+00 -1.87254576e+08 5.97365565e+07
1.03919950e+00 -1.87091939e+08 5.96598997e+07
1.04193098e+00 -1.86929084e+08 5.95831574e+07
1.04466963e+00 -1.86766011e+08 5.95063295e+07
1.04741549e+00 -1.86602721e+08 5.94294164e+07
1.05016857e+00 -1.86439213e+08 5.93524182e+07
1.05292888e+00 -1.86275489e+08 5.92753351e+07
1.05569645e+00 -1.86111547e+08 5.91981674e+07
1.05847129e+00 -1.85947389e+08 5.91209152e+07
1.06125342e+00 -1.85783014e+08 5.90435787e+07
1.06404287e+00 -1.85618423e+08 5.89661582e+07
1.06683965e+00 -1.85453616e+08 5.88886538e+07
1.06964378e+00 -1.85288593e+08 5.88110658e+07
1.07245528e+00 -1.85123355e+08 5.87333943e+07
1.07527417e+00 -1.84957902e+08 5.86556396e+07
1.07810047e+00 -1.84792233e+08 5.85778019e+07
1.08093420e+00 -1.84626350e+08 5.84998813e+07
1.08377538e+00 -1.84460252e+08 5.84218782e+07
1.08662402e+00 -1.84293940e+08 5.83437927e+07
1.08948015e+00 -1.84127414e+08 5.82656251e+07
1.09234379e+00 -1.83960675e+08 5.81873755e+07
1.09521496e+00 -1.83793722e+08 5.81090442e+07
1.09809367e+00 -1.83626555e+08 5.80306314e+07
1.10097995e+00 -1.83459176e+08 5.79521374e+07
1.10387382e+00 -1.83291584e+08 5.78735623e+07
1.10677529e+00 -1.83123779e+08 5.77949064e+07
1.10968439e+00 -1.82955763e+08 5.77161699e+07
1.11260114e+00 -1.82787534e+08 5.76373531e+07
