0.745522,0.244072,-0.055116,-0.815539,13.572009,11.267560,2.000684e+02
-0.131342,-0.040222,-0.428479,0.614741,12.533813,-3.424213,2.000684e+02
-0.631900,-0.314153,0.032102,16.339674,-3.635170,1.953033,2.000684e+02
-0.070799,0.073384,-0.035531,21.283334,13.349167,2.076172,2.000684e+02
-0.035548,0.519160,-0.255738,0.591534,5.453701,-12.144330,2.000684e+02
0.042827,0.071248,0.130508,-24.922734,-0.392365,-18.127707,2.000684e+02
-0.156662,0.047754,0.216997,-9.304701,-17.399512,5.840550,2.000684e+02
0.006427,-0.154539,0.384926,-16.181296,-0.528685,-4.301887,2.000684e+02
0.028453,-0.404999,-0.161295,9.649489,6.348559,-4.291184,2.000684e+02
-0.160279,-0.101034,0.549593,-2.563211,-10.415967,-14.233350,2.000684e+02
-0.385992,-0.453825,0.174359,5.764264,1.626502,0.165161,2.000684e+02
0.371889,-0.300127,-0.150096,-0.141522,9.594781,-5.757216,2.000684e+02
-0.134849,-0.222227,-0.086051,-6.807733,14.041302,-13.784883,2.000684e+02
-0.136342,-0.161877,0.299603,-7.822582,3.298352,0.551043,2.000684e+02
0.364152,-0.313206,0.102789,-11.057503,0.549520,16.089801,2.000684e+02
0.072242,-0.036275,-0.108681,0.733447,-0.024349,-19.498320,2.000684e+02
-0.061365,-0.082353,0.023761,-1.757898,-0.503962,-17.932999,2.000684e+02
-0.101006,-0.101557,-0.024834,10.424501,-6.370205,-15.952139,2.000684e+02
-0.018897,-0.292044,-0.200001,-2.147960,1.123372,-4.195738,2.000684e+02
0.163116,0.152566,0.105506,16.306345,2.645342,3.872844,2.000684e+02
-0.509528,-0.222155,0.395061,-6.851716,-4.339601,16.368280,2.000684e+02
0.798777,0.065609,0.121637,-12.318275,-4.431957,2.805721,2.000684e+02
-0.030623,0.004237,-0.194555,20.047933,26.696657,-2.993034,2.000684e+02
0.037276,0.189131,-0.055374,0.763200,25.827736,-0.455715,2.000684e+02
-0.007713,-0.033221,0.270243,7.440062,3.572317,7.100580,2.000684e+02
-0.096070,0.042132,0.171281,-3.813242,-5.610989,-6.805490,2.000684e+02
0.170112,0.045542,0.382706,11.391235,-4.475950,-8.674845,2.000684e+02
-0.210089,0.272518,0.233541,-8.188911,13.578659,-8.148250,2.000684e+02
0.121084,-0.044336,-0.347397,16.538635,-3.359619,10.643369,2.000684e+02
0.100832,-0.609313,-0.146793,-9.989095,-10.944075,-2.023891,2.000684e+02
0.087385,-0.125450,0.086948,-7.966688,-1.463305,-4.088697,2.000684e+02
-0.305415,0.295870,-0.107451,-12.606541,-4.820903,-20.405859,2.000684e+02
0.082122,-0.062053,-0.572951,-12.735354,-5.401985,-2.253720,2.000684e+02
0.271097,-0.091941,0.109621,7.169234,-0.832775,7.277532,2.000684e+02
-0.186747,0.105562,0.035051,-2.399412,16.988964,-6.052340,2.000684e+02
0.018529,0.176526,-0.177484,12.486229,-13.064443,0.159673,2.000684e+02
0.005741,0.221087,-0.338504,-6.346568,1.036677,-4.633195,2.000684e+02
0.701319,-0.020677,-0.408636,5.303716,-0.496967,-15.085005,2.000684e+02
0.521928,0.007369,0.845917,-4.583607,-8.225515,7.149838,2.000684e+02
0.737630,0.070779,-0.476421,6.280713,7.137047,-6.185766,2.000684e+02
0.094105,0.134807,0.057261,-5.871088,-14.328316,3.987114,2.000684e+02
-0.030311,0.257209,-0.092126,1.090443,2.023517,1.204795,2.000684e+02
-0.213035,0.248063,0.280926,-3.592681,3.607590,-5.889015,2.000684e+02
-0.026711,0.108817,-0.151725,-13.974574,4.349793,8.745573,2.000684e+02
0.174120,-0.267534,0.070433,5.433487,0.213948,0.092449,2.000684e+02
0.638221,0.486535,-0.616280,3.744789,3.055460,-6.523479,2.000684e+02
0.104565,0.338596,-0.168753,-3.445798,-4.111034,16.261786,2.000684e+02
-0.182090,-0.179815,0.372561,10.723933,1.307096,-10.550758,2.000684e+02
0.395300,0.263235,-0.146352,14.889985,19.363178,-0.242991,2.000684e+02
0.274618,0.154648,-0.069416,-7.468956,7.417396,-8.368547,2.000684e+02
0.283149,0.016165,0.171585,1.898765,6.538479,-0.256732,2.000684e+02
-0.601854,-0.392868,0.033302,6.562702,-0.860150,9.721572,2.000684e+02
0.139226,0.048141,0.214801,-16.136744,-0.499788,19.009316,2.000684e+02
-0.068111,0.030564,-0.017508,3.323942,-4.265983,4.907077,2.000684e+02
-0.083510,0.264654,0.159369,5.910808,1.002542,28.389240,2.000684e+02
-0.054836,0.267513,-0.316612,-0.978776,-3.023022,20.081662,2.000684e+02
-0.077588,-0.145017,0.091168,-2.549454,-17.809007,1.555855,2.000684e+02
0.575360,0.328852,0.254955,-6.251267,18.734039,5.350987,2.000684e+02
-0.069344,0.071139,0.122252,-18.491536,-13.230139,-1.246645,2.000684e+02
0.186020,0.121387,-0.006541,1.017949,1.706488,-8.685758,2.000684e+02
-0.127801,-0.202767,0.105676,-8.960152,20.024272,-13.288794,2.000684e+02
-0.203261,-0.048047,0.104656,-22.179183,9.279750,18.089708,2.000684e+02
0.173057,0.401249,0.390679,13.936661,2.707608,-6.765315,2.000684e+02
0.255654,-0.111747,0.020949,-18.157954,8.101348,8.210069,2.000684e+02
0.165804,0.295095,-0.223793,11.634677,5.320633,-0.490467,2.000684e+02
0.102255,-0.142397,0.041648,14.745220,-3.864108,-14.319124,2.000684e+02
0.071086,-0.205977,-0.060125,3.005091,-16.338812,-4.724018,2.000684e+02
-0.541694,0.325245,-0.149938,1.384656,3.914242,2.225615,2.000684e+02
0.069711,-0.108104,-0.075351,24.288904,-2.304576,-5.185563,2.000684e+02
0.006288,0.127901,0.013040,11.975189,8.358481,-15.866882,2.000684e+02
0.128827,0.079308,0.296714,11.922550,1.168469,7.203523,2.000684e+02
0.289390,-0.660654,0.512402,10.069924,11.537156,-13.445068,2.000684e+02
-0.116084,-0.153286,-0.186712,9.586728,20.759181,-5.570710,2.000684e+02
-0.009388,-0.279263,0.256617,-2.264207,3.441164,-1.394238,2.000684e+02
-0.296471,-0.146480,-0.018188,0.125837,-10.618166,-1.113179,2.000684e+02
0.100025,-0.018691,0.148256,4.427514,-7.071444,-22.303950,2.000684e+02
-0.880956,0.367023,-0.091276,-1.771826,3.339078,5.500885,2.000684e+02
0.076887,0.000846,-0.040497,12.828049,-4.191030,12.534816,2.000684e+02
-0.054189,-0.032251,0.031342,15.304948,15.869764,13.209640,2.000684e+02
0.042852,0.201723,0.214778,-3.952231,1.709404,4.002825,2.000684e+02
0.084445,0.101058,-0.245222,-4.063407,-3.008717,10.701530,2.000684e+02
-0.473150,0.005953,0.039850,2.020553,-4.000948,-15.197340,2.000684e+02
-0.237595,-0.125774,0.240413,-2.843590,10.626277,-16.827796,2.000684e+02
-0.160632,0.155895,0.144866,-6.054146,24.320729,-0.010493,2.000684e+02
-0.577753,-0.411325,0.189471,2.174292,-0.245839,-2.398191,2.000684e+02
-0.756990,-0.109064,0.328483,4.321549,2.868019,4.524496,2.000684e+02
-0.107359,-0.057140,-0.051873,-5.695715,-2.126378,-9.784406,2.000684e+02
-0.179736,-0.094959,-0.103824,8.238916,-3.349616,-22.495036,2.000684e+02
-0.074288,-0.035918,0.191299,3.055321,3.012877,4.901279,2.000684e+02
-0.112118,-0.541708,0.120382,-3.831418,12.324047,-9.484851,2.000684e+02
-0.006775,-0.001002,-0.082050,-6.555742,-13.547928,-4.853044,2.000684e+02
-0.178312,-0.549170,-0.334999,21.474211,0.042713,17.511060,2.000684e+02
-0.185827,-0.151621,0.345011,7.847747,8.781190,-6.913843,2.000684e+02
0.043749,0.112058,0.046143,3.486782,-0.289844,-4.317755,2.000684e+02
0.425830,0.205702,-0.091978,-11.948573,-14.988156,7.688270,2.000684e+02
0.270831,-0.267606,-0.084110,-10.092363,5.562557,-7.967821,2.000684e+02
-0.429046,-0.096246,-0.288461,17.090873,-5.580313,4.250105,2.000684e+02
-0.142475,-0.133114,-1.059124,-13.086816,0.157051,9.973999,2.000684e+02
0.042431,-0.122496,-0.001791,-10.784233,-2.231692,-4.467250,2.000684e+02
0.030407,-0.082703,-0.143338,-2.303806,-19.260855,-12.820427,2.000684e+02
-0.140955,-0.127830,0.009319,-7.154361,-10.078114,20.025211,2.000684e+02
-0.029638,0.313369,-0.185507,-6.713137,-6.989762,15.095908,2.000684e+02
